datetime,open,high,low,close,tick_volume,spread,real_volume
2025-08-20 11:21:00,2269.24,2269.34,2268.44,2268.54,21,32,0
2025-08-20 11:22:00,2268.59,2269.04,2268.34,2268.84,43,32,0
2025-08-20 11:23:00,2268.94,2269.14,2268.14,2268.24,25,32,0
2025-08-20 11:24:00,2268.29,2268.54,2268.14,2268.24,20,32,0
2025-08-20 11:25:00,2268.29,2268.59,2268.29,2268.39,19,32,0
2025-08-20 11:26:00,2268.24,2270.14,2268.24,2269.94,35,32,0
2025-08-20 11:27:00,2269.84,2269.99,2269.44,2269.69,21,32,0
2025-08-20 11:28:00,2269.74,2270.19,2269.49,2270.19,18,32,0
2025-08-20 11:29:00,2270.19,2270.19,2269.84,2269.99,10,32,0
2025-08-20 11:30:00,2269.84,2269.89,2269.34,2269.39,19,32,0
2025-08-20 11:31:00,2269.59,2269.99,2269.44,2269.99,20,32,0
2025-08-20 11:32:00,2269.84,2270.64,2269.84,2270.39,34,32,0
2025-08-20 11:33:00,2270.49,2271.29,2270.29,2271.29,36,32,0
2025-08-20 11:34:00,2271.34,2271.44,2270.64,2270.64,12,32,0
2025-08-20 11:35:00,2270.69,2271.14,2270.69,2270.84,24,32,0
2025-08-20 11:36:00,2270.74,2271.19,2270.64,2271.04,12,32,0
2025-08-20 11:37:00,2270.94,2271.64,2270.84,2271.54,27,32,0
2025-08-20 11:38:00,2271.49,2272.54,2271.34,2272.44,30,32,0
2025-08-20 11:39:00,2272.54,2272.64,2271.89,2272.14,35,32,0
2025-08-20 11:40:00,2272.24,2272.79,2272.14,2272.79,13,32,0
2025-08-20 11:41:00,2272.79,2273.19,2272.74,2273.19,11,32,0
2025-08-20 11:42:00,2273.19,2273.64,2273.19,2273.54,12,32,0
2025-08-20 11:43:00,2273.24,2273.29,2272.34,2272.44,21,32,0
2025-08-20 11:44:00,2272.54,2273.14,2272.54,2273.09,13,32,0
2025-08-20 11:45:00,2272.99,2273.24,2272.84,2273.04,13,32,0
2025-08-20 11:46:00,2273.14,2273.29,2272.89,2273.04,18,32,0
2025-08-20 11:47:00,2273.14,2273.19,2272.44,2272.54,17,32,0
2025-08-20 11:48:00,2272.59,2273.34,2272.34,2273.34,23,32,0
2025-08-20 11:49:00,2273.44,2273.64,2273.34,2273.54,8,32,0
2025-08-20 11:50:00,2273.49,2273.94,2273.49,2273.94,10,32,0
2025-08-20 11:51:00,2274.04,2274.24,2273.84,2273.94,9,32,0
2025-08-20 11:52:00,2273.99,2273.99,2273.54,2273.74,11,32,0
2025-08-20 11:53:00,2273.69,2274.19,2273.69,2273.94,13,32,0
2025-08-20 11:54:00,2273.84,2274.09,2273.84,2274.04,7,32,0
2025-08-20 11:55:00,2274.14,2274.24,2273.99,2274.24,9,32,0
2025-08-20 11:56:00,2274.14,2274.34,2274.04,2274.34,6,32,0
2025-08-20 11:57:00,2274.34,2274.34,2273.89,2274.29,13,32,0
2025-08-20 11:58:00,2274.24,2274.34,2273.54,2273.54,21,32,0
